Title,Artist,Year,Genre,Popularity,Formatted_Artist,Formatted_Title
I Don't Belong,Fontaines D.C.,2020,rock,54,fontaines_dc,i_dont_belong
Living In A Ghost Town,The Rolling Stones,2020,rock,48,the_rolling_stones,living_in_a_ghost_town
On Track,Tame Impala,2020,rock,54,tame_impala,on_track
Eternal Summer,The Strokes,2020,rock,59,the_strokes,eternal_summer
Glimmer,Tame Impala,2020,rock,54,tame_impala,glimmer
Politics & Violence,Dominic Fike,2020,rock,59,dominic_fike,politics_violence
Can't Help Falling in Love,Elvis Presley,2020,rock,54,elvis_presley,cant_help_falling_in_love
Under The Table,Fiona Apple,2020,rock,53,fiona_apple,under_the_table
She Wants Me (To Be Loved),The Happy Fits,2020,rock,57,the_happy_fits,she_wants_me_to_be_loved
Japanese Posters,Rebounder,2020,rock,56,rebounder,japanese_posters
Visions,Loving,2020,rock,57,loving,visions
Patience,Chris Cornell,2020,rock,52,chris_cornell,patience
Чужое горе,Pornofilmy,2020,rock,40,pornofilmy,_
На Моей Луне,Мёртвые Дельфины,2020,rock,40,_,_
Blue,NewDad,2020,rock,49,newdad,blue
Not The Same Anymore,The Strokes,2020,rock,58,the_strokes,not_the_same_anymore
Smoke You Out,Self Deception,2020,rock,50,self_deception,smoke_you_out
Шанс,Дайте танк (!),2020,rock,43,_,
Be Your Drug,Circa Waves,2020,rock,49,circa_waves,be_your_drug
Шанс,Дайте танк (!),2020,rock,43,_,
Be Your Drug,Circa Waves,2020,rock,49,circa_waves,be_your_drug
Teenage Dirtbag (Acoustic),Wheatus,2020,rock,52,wheatus,teenage_dirtbag_acoustic
Can I Believe You,Fleet Foxes,2020,rock,54,fleet_foxes,can_i_believe_you
unlasting,LiSA,2020,rock,56,lisa,unlasting
Lamb's Wool,Foster The People,2020,rock,57,foster_the_people,lambs_wool
Come Here,Dominic Fike,2020,rock,53,dominic_fike,come_here
BODY/PRISON,HEALTH,2020,rock,46,health,bodyprison
Уроки любви,Pornofilmy,2020,rock,40,pornofilmy,_
Roll Me Up and Smoke Me When I Die - Live,Willie Nelson,2020,rock,61,willie_nelson,roll_me_up_and_smoke_me_when_i_die_live
Didn't I,OneRepublic,2020,rock,51,onerepublic,didnt_i
Inochi No Tabekata,Eve,2020,rock,54,eve,inochi_no_tabekata
Zen (with K.Flay & grandson),X Ambassadors,2020,rock,51,x_ambassadors,zen_with_kflay_grandson
Double Negative (Skeleton Milkshake),Dominic Fike,2020,rock,57,dominic_fike,double_negative_skeleton_milkshake
Dark Days [Feat. Sylvan Esso],Local Natives,2020,rock,53,local_natives,dark_days_feat_sylvan_esso
Break My Baby,KALEO,2020,rock,47,kaleo,break_my_baby
Wherever You Are,Kodaline,2020,rock,51,kodaline,wherever_you_are
Money,Lime Cordiale,2020,rock,59,lime_cordiale,money
Suéltala,Jorge Luis Chacin,2020,rock,44,jorge_luis_chacin,sueltala
Shooting Stars - in the Woods,Rival Sons,2020,rock,48,rival_sons,shooting_stars_in_the_woods
Driving In Style,Thundermother,2020,rock,51,thundermother,driving_in_style
Пиво-Пиво-Пиво,KnyaZz,2020,rock,40,knyazz,
Don't Let Me Down,Milky Chance,2020,rock,54,milky_chance,dont_let_me_down
The Well,Marcus King,2020,rock,57,marcus_king,the_well
Альтернатива,Дайте танк (!),2020,rock,42,_,
Caution,The Killers,2020,rock,56,the_killers,caution
Kaufmann und Maid,Saltatio Mortis,2020,rock,52,saltatio_mortis,kaufmann_und_maid
Wake Up,Smash Into Pieces,2020,rock,48,smash_into_pieces,wake_up
One Of Us,Joan Osborne,2020,rock,52,joan_osborne,one_of_us
Suicide Solution,Ozzy Osbourne,2020,rock,49,ozzy_osbourne,suicide_solution
Мёртвый Город,Мёртвые Дельфины,2020,rock,38,_,_
Move Me,Badflower,2020,rock,49,badflower,move_me
PHOENIX,BURNOUT SYNDROMES,2020,rock,56,burnout_syndromes,phoenix
Wildflowers & Wine,Marcus King,2020,rock,61,marcus_king,wildflowers_wine
第六感,Reol,2020,rock,57,reol,
Goodbye to Romance,Ozzy Osbourne,2020,rock,50,ozzy_osbourne,goodbye_to_romance
Ptaha Fred,The Unsleeping,2020,rock,40,the_unsleeping,ptaha_fred
Сука війна!,Скрябін,2020,rock,39,,_
炎,LiSA,2020,rock,60,lisa,
Televised Mind,Fontaines D.C.,2020,rock,52,fontaines_dc,televised_mind
I Want More,KALEO,2020,rock,49,kaleo,i_want_more
