Title,Artist,Year,Genre,Popularity
On Me (feat. Ava Max),Thomas Rhett,2020,rock,51
R U Mine? - Live,Arctic Monkeys,2020,rock,39
Котики-Наркотики,Мёртвые Дельфины,2020,rock,31
Torch of Liberty,KANA-BOON,2020,rock,49
куда катится моя голова?,конец солнечных дней,2020,rock,35
Night Drive,Brother Firetribe,2020,rock,39
Тёплая китайская куртка,Голос Омерики,2020,rock,33
Де Твоя Лінія,Лінія Маннергейма,2020,rock,34
Старенький трамвай,Піккардійська терція,2020,rock,31
Bring on the Rain,Brother Firetribe,2020,rock,39
Невеста?,Mumiy Troll,2020,rock,32
Summer Wine,Alex Kapranos,2020,rock,38
Knockin' Boots,Luke Bryan,2020,rock,69
Озеро,Лінія Маннергейма,2020,rock,35
One Day She’s Here,Marcus King,2020,rock,52
Impossible (Orchestral Version) [Live at Abbey Road],Nothing But Thieves,2020,rock,47
Профессионал,Дайте танк (!),2020,rock,35
Фантом,RADIO TAPOK,2020,rock,33
Spillingardans,Hatari,2020,rock,30
Famous For (I Believe),Tauren Wells,2020,rock,59
Welcome To The Jungle,Guns N' Roses,2020,rock,43
One Of Them Girls,Lee Brice,2020,rock,64
Клюква (Remix),Грязь,2020,rock,32
Жалі,Jamala,2020,rock,30
Пекло,[Би-2],2020,rock,32
Lost,Somebody's Child,2020,rock,46
Лучшее,Дайте танк (!),2020,rock,34
Impossible,Nothing But Thieves,2020,rock,42
В ставку кораблі,Курган & Agregat,2020,rock,31
Прибой,shit shit shit!,2020,rock,34
Inappropriate Behaviour,Lime Cordiale,2020,rock,57
De libertate,Stereopalto,2020,rock,32
авиарежим,Nochnye Snaipery,2020,rock,33
Вітчизна,Pianoboy,2020,rock,30
Медведица,Mumiy Troll,2020,rock,32
Wings,So!YoON!,2020,rock,57
Tu Carcel - En Vivo,Los Enanitos Verdes,2020,rock,61
26.04,Noize MC,2020,rock,31
Про Орков,Fun Mode,2020,rock,32
Where We're Going,Gerry Cinnamon,2020,rock,59
Chill Out,Anthony B,2020,rock,46
History of Violence,Theory of a Deadman,2020,rock,48
Paradise City,Guns N' Roses,2020,rock,41
Крепость,Дайте танк (!),2020,rock,33
Lilacs,Waxahatchee,2020,rock,53
Никогда,МИНУС18,2020,rock,31
Помоги,Дай Дарогу!,2020,rock,21
Neyin Nesi,Dolu Kadehi Ters Tut,2020,rock,62
FIRE BIRD,Roselia,2020,rock,45
Баю-Бай,Дай Дарогу!,2020,rock,21
Электричество,Lumen,2020,rock,29
Баю-Бай,Дай Дарогу!,2020,rock,21
Электричество,Lumen,2020,rock,29
Flip Flop Fliep Flap (Pilfinger Dance Song) - Remix,Sigurd Barrett,2020,rock,39
Ao No Waltz,Eve,2020,rock,51
Winter,SE SO NEON,2020,rock,50
СНЕГОМ,КОСМОНАВТОВ НЕТ,2020,rock,32
Miracles,Colton Dixon,2020,rock,59
World Keeps Spinning,Theory of a Deadman,2020,rock,48
Teni Tenime,Sena Şener,2020,rock,63
Марш,Мёртвые Осы,2020,rock,31
アカシア,BUMP OF CHICKEN,2020,rock,48
Свинцовое Одеяло,Мёртвые Дельфины,2020,rock,28
One Margarita,Luke Bryan,2020,rock,65
Коли ми станем собою - Stereo Version,Okean Elzy,2020,rock,29
Київ-Берлін-Київ,Fiolet,2020,rock,30
Даруй,J:МОРС,2020,rock,19
Make a Change,Paddy And The Rats,2020,rock,36
Walking Free,Micah Tyler,2020,rock,49
Her Şey Seninle Güzel,Eda Baba,2020,rock,47
Too Much Whiskey,Marcus King,2020,rock,52
Bırakma Kendini,Kaan Boşnak,2020,rock,63
Wrong or Right,Surf Trash,2020,rock,52
Mara,Teren,2020,rock,30
Awesome God,Shane & Shane,2020,rock,50
California Dreamin' - Single Version,The Mamas & The Papas,2020,rock,29
СМТ,Пирятин,2020,rock,31
Soul,Lee Brice,2020,rock,62
Máma mi na krk dala klíč,Jaromir Nohavica,2020,rock,39
Северная страна,25/17,2020,rock,28
Ocean,Platon Karataev,2020,rock,33
Хлопці-Олігархи - Budapest Pop-Mix,Скрябін,2020,rock,28
"Червона Калина - з к/ф ""Червоний""",Haydamaky,2020,rock,27
Shinkai,Eve,2020,rock,51
Bismarck,RADIO TAPOK,2020,rock,30
No,Fontaines D.C.,2020,rock,41
Знаю! Будет!,7B,2020,rock,29
Просвистела - Трибьют ДДТ,Operation Plasticine,2020,rock,29
Люди,Дайте танк (!),2020,rock,31
Кто мы?,Louna,2020,rock,27
Who Am I,NEEDTOBREATHE,2020,rock,58
There I Go,Common Kings,2020,rock,56
Цветы,МИНУС18,2020,rock,29
Ohne dich - Remix By Laibach,Rammstein,2020,rock,30
Desde las Alturas,Guitarricadelafuente,2020,rock,46
ПБ,Схожа,2020,rock,29
Das Elfte Gebot,Feuerschwanz,2020,rock,47
Помойка,шумные и угрожающие выходки,2020,rock,31
Canter,Gerry Cinnamon,2020,rock,61
Отче,Лінія Маннергейма,2020,rock,30
Borderline,Tame Impala,2020,rock,40
A thought on an autumn night,JANNABI,2020,rock,54
Фотосессия,Leningrad,2020,rock,28
Самоубийцы,Blondinka KsU,2020,rock,28
Половинками Ножниц,Мёртвые Дельфины,2020,rock,26
Смерч,Lumen,2020,rock,26
Досить сумних пісень,Kozak System,2020,rock,28
Wide Eyes,Platon Karataev,2020,rock,29
Фантастика,Mumiy Troll,2020,rock,29
Okie From Muskogee - Live,John Anderson,2020,rock,52
Seven Nation Army,The White Stripes,2020,rock,49
I'm Not For Everyone,Brothers Osborne,2020,rock,57
Kazılı Kuyum,Yüzyüzeyken Konuşuruz,2020,rock,63
Нет на вас ментов,Дай Дарогу!,2020,rock,18
Si Tú La Quieres,David Bisbal,2020,rock,58
‎Good Night Good Dream,Nerd Connection,2020,rock,53
Yıldızlara Bak,Yaşlı Amca,2020,rock,63
Чёрный плащ,Голос Омерики,2020,rock,28
チューリングラブ,NANAOAKARI,2020,rock,50
Eivät enkelitkään ilman siipiä lennä,Maustetytöt,2020,rock,38
Кокаїн,Zhadan i Sobaky,2020,rock,29
Uzunlar - V2,Evdeki Saat,2020,rock,50
Silver,DMA'S,2020,rock,50
"Лето, юности закат",минимаркет,2020,rock,28
Patience,Guns N' Roses,2020,rock,41
Never Again,Dear Sunday,2020,rock,49
Такие девчонки,Mumiy Troll,2020,rock,28
Звёздочка,Pornofilmy,2020,rock,27
Як день посуне ніч,Tember Blanche,2020,rock,26
Hold Out,Sam Fender,2020,rock,48
Eso Que Tú Me Das,Jarabe De Palo,2020,rock,60
Місто,hurtom,2020,rock,25
Pesos,The Terrys,2020,rock,50
Это по любви,Mumiy Troll,2020,rock,28
Как охуенно нигде не работать,Голос Омерики,2020,rock,28
Гарного дня!,АСАФАТОV,2020,rock,24
Джин,Splean,2020,rock,28
После меня,шумные и угрожающие выходки,2020,rock,29
Не соромно,Марний,2020,rock,28
Life in the Tropics,Cienfue,2020,rock,46
Shoot Me,The Hatters,2020,rock,30
Утекай,Mumiy Troll,2020,rock,28
Пляж,Дайте танк (!),2020,rock,29
Don't Stop Me Now - Remastered 2011,Queen,2020,rock,35
Bésame,David Bisbal,2020,rock,50
Лети,Vivienne Mort,2020,rock,27
Научите меня любить,снова не успел,2020,rock,28
Try Again,Walking On Cars,2020,rock,39
Пластиліновий сон,Stereopalto,2020,rock,28
Hiç Kimsenin Günahı Yok,Sufle,2020,rock,61
Liquid Dynamite,NO CIGAR,2020,rock,46
Ретро,Дайте танк (!),2020,rock,29
アンダーグラウンド,MY FIRST STORY,2020,rock,45
"Спасибо, Артём",ГУДТАЙМС,2020,rock,27
Родимки,Pianoboy,2020,rock,23
突破口,SUPER BEAVER,2020,rock,52
капли крови,источник,2020,rock,29
Mix 'Em With Whiskey,Drake White,2020,rock,50
Чорний,Лінія Маннергейма,2020,rock,28
Не веру,Дай Дарогу!,2020,rock,16
Гопник Коля,Operation Plasticine,2020,rock,28
Dancing In The Moonlight,King Harvest,2020,rock,35
Perdón,David Bisbal,2020,rock,46
"Беги, моя жизнь",Splean,2020,rock,26
Oh really.,N.Flying,2020,rock,42
Amadeo (Still My God),Ryan Stevenson,2020,rock,56
Поколения,25/17,2020,rock,24
Пил,Лівінстон,2020,rock,25
Нужно что-то менять,Blondinka KsU,2020,rock,24
アイロニ,majiko,2020,rock,43
Thinking 'Bout You (feat. Lauren Alaina),Dustin Lynch,2020,rock,61
Losers,Balthazar,2020,rock,35
Feel Invincible,RADIO TAPOK,2020,rock,27
Все що тебе не вбиває,Pianoboy,2020,rock,24
She's Mine,Kip Moore,2020,rock,55
Запишу своё сердце на секцию плаванья,Gradusy,2020,rock,26
Psycho Killer,Talking Heads,2020,rock,50
"Звук - говно, пиво дорогое!",Голос Омерики,2020,rock,26
