Title,Artist,Year,Genre,Popularity,Formatted_Artist,Formatted_Title
We Could Start a War - EP Version,Somebody's Child,2020,rock,51,somebodys_child,we_could_start_a_war_ep_version
VENT'ANNI,Maneskin,2020,rock,45,maneskin,ventanni
505 - Live,Arctic Monkeys,2020,rock,44,arctic_monkeys,505_live
Tombstone,Ocean Alley,2020,rock,59,ocean_alley,tombstone
Crying Lightning - Live,Arctic Monkeys,2020,rock,42,arctic_monkeys,crying_lightning_live
Cancel Me,Dominic Fike,2020,rock,50,dominic_fike,cancel_me
Caffeine,Kiro Akiyama,2020,rock,54,kiro_akiyama,caffeine
"If You Want To Sing Out, Sing Out",Yusuf / Cat Stevens,2020,rock,57,yusuf_cat_stevens,if_you_want_to_sing_out_sing_out
One Of Them Girls,Lee Brice,2020,rock,71,lee_brice,one_of_them_girls
Sweet Child O' Mine,Guns N' Roses,2020,rock,48,guns_n_roses,sweet_child_o_mine
uedu daleko,konets solnechnykh dnei,2020,rock,38,konets_solnechnykh_dnei,uedu_daleko
There Is Still Pain Left - Laolu Remix,Sophie Hunger,2020,rock,47,sophie_hunger,there_is_still_pain_left_laolu_remix
Horses,Slomosa,2020,rock,46,slomosa,horses
Dobroe serdtse,Pornofilmy,2020,rock,34,pornofilmy,dobroe_serdtse
Pro liubov - Budapest Pop-Mix,Skriabin,2020,rock,32,skriabin,pro_liubov_budapest_popmix
Per due che come noi,Brunori Sas,2020,rock,62,brunori_sas,per_due_che_come_noi
Bardak,Daite tank (!),2020,rock,37,daite_tank_,bardak
Uyku,Son Feci Bisiklet,2020,rock,61,son_feci_bisiklet,uyku
Zakokhani zlodiyi,Kozak System,2020,rock,35,kozak_system,zakokhani_zlodiyi
circle the drain,Soccer Mommy,2020,rock,55,soccer_mommy,circle_the_drain
Altust Olmusum,Mavi Gri,2020,rock,69,mavi_gri,altust_olmusum
1999,NO CIGAR,2020,rock,55,no_cigar,1999
Ministr kul'tury,Golos Omeriki,2020,rock,35,golos_omeriki,ministr_kultury
Synrise - Soulwax Remix,GOOSE,2020,rock,42,goose,synrise_soulwax_remix
go-rudentaimuraba- - 2020 Remaster,Sukima Switch,2020,rock,52,sukima_switch,gorudentaimuraba_2020_remaster
Jue Zhan supiritsuto,CHiCO with HoneyWorks,2020,rock,56,chico_with_honeyworks,jue_zhan_supiritsuto
Body Like A Back Road,Sam Hunt,2020,rock,71,sam_hunt,body_like_a_back_road
Chornii Mol'far,Tsviakh,2020,rock,35,tsviakh,chornii_molfar
Knee Socks - Live,Arctic Monkeys,2020,rock,41,arctic_monkeys,knee_socks_live
Zai Hui  (produced by Ayase),LiSA,2020,rock,59,lisa,zai_hui_produced_by_ayase
"Taka, iak lito",Kozak System,2020,rock,35,kozak_system,taka_iak_lito
L'hymne de nos campagnes 2019,Tryo,2020,rock,49,tryo,lhymne_de_nos_campagnes_2019
Pure 90 (Rapping Queen),Shaka Ponk,2020,rock,45,shaka_ponk,pure_90_rapping_queen
naimononedari - Revenge THE FIRST TAKE,KANA-BOON,2020,rock,52,kanaboon,naimononedari_revenge_the_first_take
Dykhaem znou,J:MORS,2020,rock,24,jmors,dykhaem_znou
Your Girlfriend,Blossoms,2020,rock,58,blossoms,your_girlfriend
Isus Iz Nazareta,Liniia Mannergeima,2020,rock,36,liniia_mannergeima,isus_iz_nazareta
The Devil Went Down to Georgia,Nickelback,2020,rock,55,nickelback,the_devil_went_down_to_georgia
