Title,Artist,Year,Genre,Popularity,track_id
Крепость,Дайте танк (!),2020,rock,33,392
Lilacs,Waxahatchee,2020,rock,53,393
Никогда,МИНУС18,2020,rock,31,394
Помоги,Дай Дарогу!,2020,rock,21,395
Neyin Nesi,Dolu Kadehi Ters Tut,2020,rock,62,396
FIRE BIRD,Roselia,2020,rock,45,397
Баю-Бай,Дай Дарогу!,2020,rock,21,398
Электричество,Lumen,2020,rock,29,399
Баю-Бай,Дай Дарогу!,2020,rock,21,400
Электричество,Lumen,2020,rock,29,401
Flip Flop Fliep Flap (Pilfinger Dance Song) - Remix,Sigurd Barrett,2020,rock,39,402
Ao No Waltz,Eve,2020,rock,51,403
Winter,SE SO NEON,2020,rock,50,404
СНЕГОМ,КОСМОНАВТОВ НЕТ,2020,rock,32,405
Miracles,Colton Dixon,2020,rock,59,406
World Keeps Spinning,Theory of a Deadman,2020,rock,48,407
Teni Tenime,Sena Şener,2020,rock,63,408
Марш,Мёртвые Осы,2020,rock,31,409
アカシア,BUMP OF CHICKEN,2020,rock,48,410
Свинцовое Одеяло,Мёртвые Дельфины,2020,rock,28,411
One Margarita,Luke Bryan,2020,rock,65,412
Коли ми станем собою - Stereo Version,Okean Elzy,2020,rock,29,413
Київ-Берлін-Київ,Fiolet,2020,rock,30,414
Даруй,J:МОРС,2020,rock,19,415
Make a Change,Paddy And The Rats,2020,rock,36,416
Walking Free,Micah Tyler,2020,rock,49,417
Her Şey Seninle Güzel,Eda Baba,2020,rock,47,418
Too Much Whiskey,Marcus King,2020,rock,52,419
Bırakma Kendini,Kaan Boşnak,2020,rock,63,420
Wrong or Right,Surf Trash,2020,rock,52,421
Mara,Teren,2020,rock,30,422
Awesome God,Shane & Shane,2020,rock,50,423
California Dreamin' - Single Version,The Mamas & The Papas,2020,rock,29,424
СМТ,Пирятин,2020,rock,31,425
Soul,Lee Brice,2020,rock,62,426
Máma mi na krk dala klíč,Jaromir Nohavica,2020,rock,39,427
Северная страна,25/17,2020,rock,28,428
Ocean,Platon Karataev,2020,rock,33,429
Хлопці-Олігархи - Budapest Pop-Mix,Скрябін,2020,rock,28,430
"Червона Калина - з к/ф ""Червоний""",Haydamaky,2020,rock,27,431
Shinkai,Eve,2020,rock,51,432
Bismarck,RADIO TAPOK,2020,rock,30,433
No,Fontaines D.C.,2020,rock,41,434
Знаю! Будет!,7B,2020,rock,29,435
Просвистела - Трибьют ДДТ,Operation Plasticine,2020,rock,29,436
Люди,Дайте танк (!),2020,rock,31,437
Кто мы?,Louna,2020,rock,27,438
Who Am I,NEEDTOBREATHE,2020,rock,58,439
There I Go,Common Kings,2020,rock,56,440
Цветы,МИНУС18,2020,rock,29,441
Ohne dich - Remix By Laibach,Rammstein,2020,rock,30,442
Desde las Alturas,Guitarricadelafuente,2020,rock,46,443
ПБ,Схожа,2020,rock,29,444
Das Elfte Gebot,Feuerschwanz,2020,rock,47,445
Помойка,шумные и угрожающие выходки,2020,rock,31,446
Canter,Gerry Cinnamon,2020,rock,61,447
Отче,Лінія Маннергейма,2020,rock,30,448
Borderline,Tame Impala,2020,rock,40,449
A thought on an autumn night,JANNABI,2020,rock,54,450
Фотосессия,Leningrad,2020,rock,28,451
Самоубийцы,Blondinka KsU,2020,rock,28,452
Половинками Ножниц,Мёртвые Дельфины,2020,rock,26,453
Смерч,Lumen,2020,rock,26,454
Досить сумних пісень,Kozak System,2020,rock,28,455
Wide Eyes,Platon Karataev,2020,rock,29,456
Фантастика,Mumiy Troll,2020,rock,29,457
Okie From Muskogee - Live,John Anderson,2020,rock,52,458
Seven Nation Army,The White Stripes,2020,rock,49,459
I'm Not For Everyone,Brothers Osborne,2020,rock,57,460
Kazılı Kuyum,Yüzyüzeyken Konuşuruz,2020,rock,63,461
Нет на вас ментов,Дай Дарогу!,2020,rock,18,462
Si Tú La Quieres,David Bisbal,2020,rock,58,463
‎Good Night Good Dream,Nerd Connection,2020,rock,53,464
Yıldızlara Bak,Yaşlı Amca,2020,rock,63,465
Чёрный плащ,Голос Омерики,2020,rock,28,466
チューリングラブ,NANAOAKARI,2020,rock,50,467
Eivät enkelitkään ilman siipiä lennä,Maustetytöt,2020,rock,38,468
Кокаїн,Zhadan i Sobaky,2020,rock,29,469
Uzunlar - V2,Evdeki Saat,2020,rock,50,470
Silver,DMA'S,2020,rock,50,471
"Лето, юности закат",минимаркет,2020,rock,28,472
Patience,Guns N' Roses,2020,rock,41,473
Never Again,Dear Sunday,2020,rock,49,474
Такие девчонки,Mumiy Troll,2020,rock,28,475
Звёздочка,Pornofilmy,2020,rock,27,476
Як день посуне ніч,Tember Blanche,2020,rock,26,477
Hold Out,Sam Fender,2020,rock,48,478
Eso Que Tú Me Das,Jarabe De Palo,2020,rock,60,479
Місто,hurtom,2020,rock,25,480
Pesos,The Terrys,2020,rock,50,481
Это по любви,Mumiy Troll,2020,rock,28,482
Как охуенно нигде не работать,Голос Омерики,2020,rock,28,483
Гарного дня!,АСАФАТОV,2020,rock,24,484
Джин,Splean,2020,rock,28,485
